stop_id,stop_name,stop_lat,stop_lon
RS_ACC1_S-1-0413,쌍문,37.648630000,127.034710000
RS_ACC1_S-1-0414,수유,37.638050000,127.025730000
RS_ACC1_S-1-0415,미아,37.626670000,127.025980000
RS_ACC1_S-1-0416,미아사거리,37.613290000,127.030050000
RS_ACC1_S-1-0417,길음,37.603410000,127.025050000
RS_ACC1_S-1-0418,성신여대입구,37.592620000,127.016400000
RS_ACC1_S-1-0419,한성대입구,37.588460000,127.006220000
RS_ACC1_S-1-0420,혜화,37.582340000,127.001840000
RS_ACC1_S-1-0421,동대문,37.570940000,127.009300000
RS_ACC1_S-1-0422,동대문역사문화공원,37.565150000,127.007870000
RS_ACC1_S-1-0423,충무로,37.561240000,126.994220000
RS_ACC1_S-1-0424,명동,37.560990000,126.986330000
RS_ACC1_S-1-0425,회현,37.558510000,126.978250000
RS_ACC1_S-1-0426,서울역,37.553110000,126.972650000
RS_ACC1_S-1-0427,숙대입구,37.544560000,126.972110000
RS_ACC1_S-1-0428,삼각지,37.533980000,126.972500000
RS_ACC1_S-1-0429,신용산,37.529170000,126.967890000
RS_ACC1_S-1-0430,이촌,37.522310000,126.974560000
RS_ACC1_S-1-0431,동작,37.502890000,126.980340000
RS_ACC1_S-1-0432,총신대입구,37.487480000,126.982230000
RS_ACC1_S-1-0433,사당,37.476950000,126.981650000
RS_ACC1_S-1-0434,남태령,37.463870000,126.989130000
RS_ACC1_S-1-1001,서울역,37.553420000,126.971700000
RS_ACC1_S-1-1002,남영,37.541020000,126.971300000
RS_ACC1_S-1-1003,용산,37.529850000,126.964560000
RS_ACC1_S-1-1004,노량진,37.514100000,126.942200000
RS_ACC1_S-1-1005,대방,37.513340000,126.926380000
RS_ACC1_S-1-1006,영등포,37.515500000,126.907630000
RS_ACC1_S-1-1007,신도림,37.508970000,126.891490000
RS_ACC1_S-1-1008,이촌,37.522330000,126.973690000
RS_ACC1_S-1-1009,서빙고,37.519590000,126.988540000
RS_ACC1_S-1-1010,한남,37.529430000,127.009170000
RS_ACC1_S-1-1011,옥수,37.540500000,127.018740000
RS_ACC1_S-1-1012,응봉,37.549950000,127.034540000
RS_ACC1_S-1-1013,왕십리,37.561900000,127.038340000
RS_ACC1_S-1-1014,청량리,37.580810000,127.048370000
RS_ACC1_S-1-1015,회기,37.589460000,127.057580000
RS_ACC1_S-1-1016,외대앞,37.596070000,127.063550000
RS_ACC1_S-1-1017,신이문,37.601850000,127.067330000
RS_ACC1_S-1-1018,석계,37.615000000,127.065740000
RS_ACC1_S-1-1019,광운대,37.623630000,127.061840000
RS_ACC1_S-1-1020,월계,37.633210000,127.058830000
RS_ACC1_S-1-1021,녹천,37.644800000,127.051270000
RS_ACC1_S-1-1022,창동,37.653030000,127.047790000
RS_ACC1_S-1-1023,선릉,37.504640000,127.048930000
RS_ACC1_S-1-1024,한티,37.496240000,127.052870000
RS_ACC1_S-1-1025,도곡,37.491050000,127.055320000
RS_ACC1_S-1-1026,구룡,37.486840000,127.058860000
RS_ACC1_S-1-1027,개포동,37.489120000,127.066140000
RS_ACC1_S-1-1028,대모산입구,37.491370000,127.072720000
RS_ACC1_S-1-1030,수서,37.487250000,127.101690000
RS_ACC1_S-1-1031,복정,37.470370000,127.126680000
RS_ACC1_S-1-1032,신길,37.516680000,126.918500000
RS_ACC1_S-1-1201,중랑,37.594920000,127.076120000
RS_ACC1_S-1-1202,상봉,37.596680000,127.085030000
RS_ACC1_S-1-1203,망우,37.599250000,127.092320000
RS_ACC1_S-1-1204,양원,37.606600000,127.107910000
RS_ACC1_S-1-1205,구리,37.603390000,127.143870000
RS_ACC1_S-1-1206,도농,37.608810000,127.161150000
RS_ACC1_S-1-1207,양정,37.605330000,127.193640000
RS_ACC1_S-1-1208,덕소,37.586780000,127.208830000
RS_ACC1_S-1-1209,도심,37.579620000,127.222670000
RS_ACC1_S-1-1210,팔당,37.547370000,127.243940000
RS_ACC1_S-1-1211,운길산,37.554670000,127.310120000
RS_ACC1_S-1-1212,양수,37.545980000,127.329100000
RS_ACC1_S-1-1213,신원,37.525550000,127.372920000
RS_ACC1_S-1-1214,국수,37.516170000,127.399370000
RS_ACC1_S-1-1215,아신,37.513820000,127.443170000
RS_ACC1_S-1-1216,오빈,37.506060000,127.473870000
RS_ACC1_S-1-1217,양평,37.492830000,127.491810000
RS_ACC1_S-1-1218,원덕,37.468670000,127.547080000
RS_ACC1_S-1-1219,용문,37.482230000,127.594650000
RS_ACC1_S-1-1220,지평,37.476400000,127.629680000
RS_ACC1_S-1-1251,서울역,37.557190000,126.971270000
RS_ACC1_S-1-1252,신촌,37.559780000,126.942320000
RS_ACC1_S-1-1261,효창공원앞,37.538660000,126.962350000
RS_ACC1_S-1-1262,공덕,37.542590000,126.952170000
RS_ACC1_S-1-1263,서강대,37.551880000,126.935710000
RS_ACC1_S-1-1264,홍대입구,37.557590000,126.926760000
RS_ACC1_S-1-1265,가좌,37.568490000,126.915490000
RS_ACC1_S-1-1266,디지털미디어시티,37.577380000,126.900630000
RS_ACC1_S-1-1267,수색,37.580840000,126.895610000
RS_ACC1_S-1-1268,화전,37.602890000,126.868390000
RS_ACC1_S-1-1269,강매,37.612310000,126.843220000
RS_ACC1_S-1-1270,행신,37.612100000,126.834150000
RS_ACC1_S-1-1271,능곡,37.618810000,126.820780000
RS_ACC1_S-1-1272,곡산,37.645680000,126.801760000
RS_ACC1_S-1-1273,백마,37.658240000,126.794460000
RS_ACC1_S-1-1274,풍산,37.672350000,126.786240000
RS_ACC1_S-1-1275,일산,37.682080000,126.769850000
RS_ACC1_S-1-1276,탄현,37.694020000,126.761090000
RS_ACC1_S-1-1277,야당,37.712330000,126.761360000
RS_ACC1_S-1-1278,운정,37.725830000,126.767260000
RS_ACC1_S-1-1279,금릉,37.751320000,126.765350000
RS_ACC1_S-1-1280,금촌,37.766220000,126.774640000
RS_ACC1_S-1-1282,월롱,37.796190000,126.792590000
RS_ACC1_S-1-1283,파주,37.815300000,126.792780000
RS_ACC1_S-1-1284,문산,37.854620000,126.788050000
RS_ACC1_S-1-1285,운천,37.879740000,126.769790000
RS_ACC1_S-1-1286,임진강,37.888270000,126.746930000
RS_ACC1_S-1-1309,상봉,37.596850000,127.085100000
RS_ACC1_S-1-1310,망우,37.599910000,127.091540000
RS_ACC1_S-1-1311,신내,37.612890000,127.103220000
RS_ACC1_S-1-1312,갈매,37.634120000,127.114760000
RS_ACC1_S-1-1313,별내,37.642020000,127.126840000
RS_ACC1_S-1-1314,퇴계원,37.648310000,127.143950000
RS_ACC1_S-1-1315,사릉,37.651080000,127.176930000
RS_ACC1_S-1-1316,금곡,37.637380000,127.207850000
RS_ACC1_S-1-1317,평내호평,37.653230000,127.244490000
RS_ACC1_S-1-1318,천마산,37.658980000,127.285380000
RS_ACC1_S-1-1319,마석,37.652780000,127.311770000
RS_ACC1_S-1-1320,대성리,37.684070000,127.379320000
RS_ACC1_S-1-1321,청평,37.735490000,127.426610000
RS_ACC1_S-1-1322,상천,37.770250000,127.454820000
RS_ACC1_S-1-1323,가평,37.814540000,127.510740000
RS_ACC1_S-1-1324,굴봉산,37.832070000,127.557700000
RS_ACC1_S-1-1325,백양리,37.830780000,127.589330000
RS_ACC1_S-1-1326,강촌,37.805720000,127.634150000
RS_ACC1_S-1-1327,김유정,37.818470000,127.714340000
RS_ACC1_S-1-1328,남춘천,37.864010000,127.723790000
RS_ACC1_S-1-1329,춘천,37.885050000,127.717020000
RS_ACC1_S-1-1401,봉명,36.801220000,127.135760000
RS_ACC1_S-1-1402,쌍용,36.793760000,127.121400000
RS_ACC1_S-1-1403,아산,36.792050000,127.104360000
RS_ACC1_S-1-1404,탕정,36.788400000,127.084990000
RS_ACC1_S-1-1405,배방,36.777630000,127.052990000
RS_ACC1_S-1-1407,온양온천,36.780480000,127.003250000
RS_ACC1_S-1-1408,신창,36.769500000,126.951110000
RS_ACC1_S-1-1450,선바위,37.451670000,127.002300000
RS_ACC1_S-1-1451,경마공원,37.443890000,127.007890000
RS_ACC1_S-1-1452,대공원,37.435680000,127.006520000
RS_ACC1_S-1-1453,과천,37.433020000,126.996570000
RS_ACC1_S-1-1454,정부과천청사,37.426510000,126.989780000
RS_ACC1_S-1-1455,인덕원,37.401550000,126.976720000
RS_ACC1_S-1-1456,평촌,37.394290000,126.963880000
RS_ACC1_S-1-1457,범계,37.389790000,126.950810000
RS_ACC1_S-1-1501,판교,37.394910000,127.111350000
RS_ACC1_S-1-1502,이매,37.394650000,127.127410000
RS_ACC1_S-1-1503,삼동,37.409520000,127.203360000
RS_ACC1_S-1-1504,경기광주,37.399910000,127.252630000
RS_ACC1_S-1-1505,초월,37.374420000,127.299000000
RS_ACC1_S-1-1506,곤지암,37.351320000,127.346740000
RS_ACC1_S-1-1507,신둔도예촌,37.317190000,127.404760000
RS_ACC1_S-1-1508,이천,37.265580000,127.442260000
RS_ACC1_S-1-1509,부발,37.260190000,127.490280000
RS_ACC1_S-1-1510,세종대왕릉,37.295310000,127.570940000
RS_ACC1_S-1-1511,여주,37.282910000,127.628460000
RS_ACC1_S-1-1701,구로,37.503040000,126.881970000
RS_ACC1_S-1-1702,가산디지털단지,37.481590000,126.882590000
RS_ACC1_S-1-1703,금천구청,37.455630000,126.893980000
